gid,date,temperature_2m,dewpoint_temperature_2m,surface_pressure,u_component_of_wind_10m,v_component_of_wind_10m,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards_hourly,total_precipitation_hourly
kfc,2021-01-01 12:00,263.3140619470933,261.68415775314025,96922.4819509804,-2.050290807387408,-0.08411080394071688,0.0,916560.8131764707,1.6875635759503233E-5
cnl,2021-01-01 12:00,264.66235825750704,262.6721591511641,96721.88603458233,-2.9500364560054395,-0.31703056202474184,0.0,934114.8500678085,3.623905668805224E-6
utq,2021-01-01 12:00,244.42186251720904,241.4097755754813,101461.11950318719,-6.652530592288227,-2.633926068260869,0.0,602358.3443879748,3.238560535441752E-6
tvc,2021-01-01 12:00,240.05530211678848,237.327650821792,101026.2343164386,-0.615940706779555,2.0488217584155635,0.0,494420.26976379345,3.163493272888933E-7
tfs,2021-01-01 12:00,248.95251669558914,241.201182332767,89819.36726685366,-1.0192308046288663,1.6674885777680244,0.0,683804.6435546493,2.885644723585604E-6
abs,2021-01-01 12:00,263.7722895757757,262.61034007547266,91188.65206233584,-0.7083662088358933,0.3892487295141707,0.0,833295.9603513865,1.9801365304888043E-5
bs,2021-01-01 12:00,269.638541103121,268.2741008061013,98502.19109468258,-2.4950680166110994,2.7585704139051272,0.0,1066716.2080168207,7.925935016820691E-5
si,2021-01-01 12:00,250.50970286639551,247.8109597181386,101131.6625840184,1.5765278152388906,-4.394218471504058,0.0,755430.2477405879,1.04367612541802E-4
tl27,2021-01-01 13:00,265.5401149743515,263.67242046858786,97013.1544082083,-4.662300995975168,-0.31276857542424613,0.0,908834.5240342269,1.5346742852372888E-6
tl47,2021-01-01 13:00,265.7161265729613,263.79671825618357,97386.93024923737,-4.57765865179579,-0.2939464258832522,0.0,913309.3327063017,4.2090561536153785E-6
kg,2021-01-01 13:00,264.0611867112895,262.3949532516517,96724.60025959963,-2.510179976013726,-0.2048300719877342,0.0,902976.5853955057,5.059930954621283E-6
kfc,2021-01-01 13:00,263.01487810202207,261.32998251761643,96860.63321139709,-2.0814248310163914,-0.12609588982077205,0.0,889123.0212941177,8.70435261258892E-6
cnl,2021-01-01 13:00,264.55808917145276,262.51508970920224,96656.22028255906,-3.000833842353067,-0.4171208935348217,0.0,902344.1997589029,2.021448161578189E-6
utq,2021-01-01 13:00,244.35898015632407,241.2554313350129,101424.77099899594,-6.550185247666566,-2.2988090741869525,0.0,552405.9061934707,3.3399947125614538E-6
tvc,2021-01-01 13:00,239.79548265578018,237.07078921579813,100987.61231226304,-0.7638944447804255,2.04926816278147,0.0,491648.879368953,2.940722666424299E-7
tfs,2021-01-01 13:00,249.18709422236856,241.76964571814557,89766.58610218178,-0.9189803977214414,1.6309998870302675,0.0,673499.6322993061,3.048154979487243E-6
abs,2021-01-01 13:00,263.51572238241886,262.33496859232696,91162.56708182799,-0.7067484995342577,0.3175633077158816,0.0,823770.0460802391,9.756389050031351E-6
bs,2021-01-01 13:00,270.18558833784095,268.8862276206635,98500.27519033162,-2.5300033246442424,3.202550497898509,0.0,1087117.2105941402,1.867834187546827E-4
si,2021-01-01 13:00,250.27713231816503,247.52704606120545,101095.01369786468,2.0363875980343424,-4.003063598117235,0.0,746722.8138880061,1.1015989536366136E-4
tl27,2021-01-01 14:00,265.3477207585613,263.44066395896994,96937.40585529525,-4.811846471843862,-0.4491271819050723,0.0,879540.7887253053,4.820517208406096E-7
tl47,2021-01-01 14:00,265.5456818995644,263.57705943028907,97312.15171104619,-4.7074125339109045,-0.39081705332357075,0.0,886361.5889807435,1.6586686778697608E-6
kg,2021-01-01 14:00,263.5554461734071,261.8917113415255,96656.24413779093,-2.55258742590185,-0.2784403518179481,0.0,844340.1330640417,2.099440314638002E-6
kfc,2021-01-01 14:00,262.46480308143765,260.76121456609985,96793.96650551472,-2.1045672607421877,-0.17583692842371326,0.0,840698.1208627451,4.1312961017384246E-6
cnl,2021-01-01 14:00,264.24832405398047,262.21882870589013,96588.4876365196,-3.076324742636368,-0.4761412305016144,0.0,848645.8516751218,1.50219108214233E-6
utq,2021-01-01 14:00,244.229956619088,241.1984351456592,101388.47293284039,-6.251020929837825,-2.079040093594039,0.0,590837.4510293738,4.0965177711153615E-6
tvc,2021-01-01 14:00,239.59369110743157,236.85471020212023,100958.36919799475,-0.9685847042100034,1.992458045924229,0.0,489780.50701647357,6.662564644222945E-7
tfs,2021-01-01 14:00,249.67734295734977,242.39820600491925,89705.85133807333,-0.7699364441844306,1.5607512586373642,0.0,693373.4364092711,5.217673236320774E-6
