gid,date,temperature_2m,dewpoint_temperature_2m,surface_pressure,u_component_of_wind_10m,v_component_of_wind_10m,surface_solar_radiation_downwards_hourly,surface_thermal_radiation_downwards_hourly,total_precipitation_hourly
cell_01,2020-01-01 13:00,248.6090411376953,245.87676147460937,98956.1509375,-1.816915283203125,-4.110103759765625,0.0,777102.4,1.180189847946167E-4
cell_02,2020-01-01 13:00,248.6786505126953,245.9480114746094,99297.7509375,-1.719376220703125,-3.739556884765625,0.0,776636.0,1.2075364589691163E-4
cell_03,2020-01-01 13:00,248.47872863769533,245.72293334960938,99246.8709375,-1.499415283203125,-3.210845947265625,0.0,770750.64,1.7956137657165527E-4
cell_01,2020-01-01 14:00,248.6941357421875,245.98711242675782,98999.1121875,-2.2493707275390626,-3.986602783203125,0.0,773074.32,1.5937387943267822E-4
cell_02,2020-01-01 14:00,248.7294482421875,246.0312530517578,99340.6321875,-2.0635504150390624,-3.630899658203125,0.0,767657.52,1.40988826751709E-4
cell_03,2020-01-01 14:00,248.5241357421875,245.81312805175781,99288.8321875,-1.8905426025390626,-3.215899658203125,0.0,757517.12,1.133948564529419E-4
cell_01,2020-01-01 15:00,248.81360107421875,246.03885009765625,99052.9021875,-2.4822039794921875,-4.060772705078125,0.0,781493.48,1.9040346145629883E-4
cell_02,2020-01-01 15:00,248.88656982421875,246.07861572265625,99391.9821875,-2.2450555419921874,-3.772960205078125,0.0,781795.56,1.7745018005371093E-4
cell_03,2020-01-01 15:00,248.71563232421875,245.98041259765625,99337.1421875,-2.0556024169921874,-3.480225830078125,0.0,777140.44,1.5593230724334718E-4
cell_01,2020-01-01 16:00,248.82950805664063,246.07564453125,99116.59515625,-2.56474609375,-4.112839965820313,0.0,772809.28,2.029520273208618E-4
cell_02,2020-01-01 16:00,248.94802368164062,246.15119140625,99454.87515625,-2.35662109375,-3.9360821533203123,0.0,776660.8,1.9916474819183349E-4
cell_03,2020-01-01 16:00,248.86974243164062,246.08009765625,99398.83515625,-2.28521484375,-3.7503399658203125,0.0,779214.24,1.9154369831085206E-4
cell_01,2020-01-01 17:00,248.83132385253907,246.1132275390625,99139.7478125,-2.6493304443359373,-4.13117919921875,0.0,773602.48,2.0497679710388184E-4
cell_02,2020-01-01 17:00,248.93648010253906,246.2101025390625,99479.6678125,-2.3809320068359376,-3.94422607421875,0.0,773231.92,2.0972907543182373E-4
cell_03,2020-01-01 17:00,248.85694885253906,246.1422900390625,99423.5078125,-2.2880413818359373,-3.67688232421875,0.0,771679.84,2.128356695175171E-4
cell_01,2020-01-01 18:00,248.87721923828124,246.11619384765626,99211.42421875,-2.78119140625,-4.08724365234375,0.0,771720.4,2.1648108948966183E-4
cell_02,2020-01-01 18:00,249.01378173828124,246.24299072265626,99552.02421875,-2.55611328125,-3.96587646484375,0.0,773094.48,2.2295713414450803E-4
cell_03,2020-01-01 18:00,248.98300048828125,246.24424072265626,99496.06421875,-2.56228515625,-3.81302490234375,0.0,775584.88,2.2678852071067012E-4
cell_01,2020-01-01 19:00,248.2918280029297,245.2537414550781,99348.59578125,-3.567750244140625,-4.12818603515625,0.0,771080.0,1.8293917179107666E-4
cell_02,2020-01-01 19:00,248.4150311279297,245.29077270507813,99688.55578125,-3.408375244140625,-4.19732666015625,0.0,770780.4,1.7910242080688477E-4
cell_03,2020-01-01 19:00,248.36596862792967,245.28116333007813,99630.27578125,-3.462828369140625,-4.17564697265625,0.0,766694.16,1.7510950565338134E-4
cell_01,2020-01-01 20:00,248.39505798339843,245.27954833984376,99399.75203125,-3.3731768798828123,-4.158285522460938,0.0,761983.12,1.687645912284097E-4
cell_02,2020-01-01 20:00,248.51247985839845,245.32189208984374,99739.31203125,-3.2688409423828126,-4.198324584960938,0.0,761918.48,1.6457319260780424E-4
cell_03,2020-01-01 20:00,248.47458923339843,245.31712646484374,99679.75203125,-3.3688800048828127,-4.181332397460937,0.0,759628.24,1.6094982625190822E-4
cell_01,2020-01-01 21:00,248.5030096435547,245.35251220703125,99438.23140625,-3.2800606536865233,-4.122569580078125,0.0,769264.84,1.5064597136642987E-4
cell_02,2020-01-01 21:00,248.6160565185547,245.40805908203126,99777.55140625,-3.1589669036865233,-4.137686767578125,0.0,767957.0,1.5039026744034345E-4
cell_03,2020-01-01 21:00,248.5763690185547,245.40688720703125,99716.87140625,-3.2413497161865235,-4.131124267578125,0.0,764060.12,1.4736056334641034E-4
cell_01,2020-01-01 22:00,248.60057434082032,245.41771301269532,99481.09625,-3.1585977554321287,-4.115330200195313,0.0,767880.44,1.472097635269165E-4
cell_02,2020-01-01 22:00,248.72408996582033,245.4998223876953,99819.81625,-3.0321133804321287,-4.158377075195313,0.0,770972.92,1.4713466167449952E-4
cell_03,2020-01-01 22:00,248.7197930908203,245.4996661376953,99758.33625,-3.208011817932129,-4.211072387695313,0.0,774134.92,1.4109432697296143E-4
cell_01,2020-01-01 23:00,248.72663024902343,245.56338012695312,99536.3796875,-3.0968517303466796,-4.2531884765625,0.0,778748.6,1.7049252983497354E-4
cell_02,2020-01-01 23:00,248.85491149902344,245.66697387695314,99875.8996875,-2.9394298553466798,-4.3067822265625,0.0,779378.92,1.645082234995243E-4
cell_03,2020-01-01 23:00,248.83545837402343,245.6997863769531,99814.2996875,-3.01989860534668,-4.3268994140625,0.0,776012.04,1.552045344965336E-4
cell_01,2020-01-02 00:00,248.79116088867187,245.69537963867188,99572.55625,-2.9223789596557617,-4.264108276367187,0.0,775385.72,2.042084932099897E-4
cell_02,2020-01-02 00:00,248.93037963867187,245.80178588867187,99909.43625,-2.8291367721557616,-4.362116088867188,0.0,777665.56,1.9883751866927923E-4
cell_03,2020-01-02 00:00,248.92975463867188,245.82569213867188,99847.71625,-2.9901523971557618,-4.426256713867187,0.0,779910.68,1.895946264039594E-4
cell_01,2020-01-02 01:00,248.8477362060547,245.8172998046875,99631.32234375,-2.862042198181152,-4.382810668945313,0.0,774091.03,2.172049880027771E-4
cell_02,2020-01-02 01:00,248.99429870605468,245.9501123046875,99968.72234375,-2.748175010681152,-4.454529418945312,0.0,777230.695,2.1881215274333955E-4
cell_03,2020-01-02 01:00,249.0067987060547,246.0130810546875,99906.44234375,-2.983565635681152,-4.539724731445313,0.0,779290.51,2.1516703069210052E-4
cell_01,2020-01-02 02:00,248.86642333984375,245.92566284179688,99687.734375,-2.7566073608398436,-4.40067138671875,0.0,771509.7525,2.0239517092704773E-4
cell_02,2020-01-02 02:00,249.02439208984376,246.05285034179687,100024.454375,-2.6465682983398438,-4.48813232421875,0.0,773728.1375,2.0961754024028778E-4
